Reference (Paper),Method Type,Architecture,Dataset,Target,Pre-processing,Data Augmentation,Main Features,Metrics and Results,Application,Advantage,Disadvantage
" An Empirical Study of Fully Black-Box and Universal Adversarial Attack for SAR Target Recognition by Bowen Peng, Bo Peng, Shaowei Yong, and Li Liu [11]", 3.6 Adversarial Learning 4.2 Data Quality Enhancement 4.7 Context-aware Methods," The paper proposes a fully black-box universal attack (FBUA) framework for SAR ATR, consisting of three main phases: SAR image simulation Substitute model training Universal adversarial perturbation (UAP) generation", The paper uses two datasets: MSTAR dataset SARSIM dataset (simulated SAR data), Military ground vehicles from the MSTAR dataset," No specific pre-processing is mentioned, as the method focuses on generating adversarial perturbations."," The method uses simulated SAR data (SARSIM) to train substitute models, which can be considered a form of data augmentation.", Universal adversarial perturbations (UAPs) Cross-model transferability of attacks Fully black-box attack scenario, Fooling ratio (percentage of misclassified samples after applying UAP) The paper reports an average fooling ratio of 64.6% across 8 different CNN models when UAP magnitude is set to 16/255, Evaluating the robustness of SAR ATR systems against adversarial attacks in non-cooperative scenarios, Demonstrates vulnerability of SAR ATR systems in fully black-box scenarios Provides insights into the mechanism of universal adversarial attacks on SAR images Evaluates attack performance across multiple CNN architectures Uses simulated data to overcome the limitation of real SAR data availability, The attack's performance in real-world scenarios may differ from simulated conditions Ethical concerns about developing attack methods that could potentially be misused The study does not propose defense mechanisms against such attacks This paper presents a comprehensive study on the vulnerability of SAR ATR systems to adversarial attacks in non-cooperative scenarios. It highlights the potential risks and provides a foundation for future research on defending against such attacks.
" Slim and Efficient Neural Network Design for Resource-Constrained SAR Target Recognition by Hongyi Chen, Fan Zhang, Bo Tang, Qiang Yin, and Xian Sun [12]", 2.2 CNN-Based Models 4.2 Data Quality Enhancement 4.4 Application-Specific Methods," The paper proposes a compressed convolutional neural network (CNN) architecture for SAR ATR, with three main components: Weight-based network pruning and adaptive architecture squeezing Weight quantization and coding Fast computation method for pruned convolutional layers", The paper uses the MSTAR dataset for experiments., Military ground vehicles from the MSTAR dataset, The paper uses central sampling to extract 88x88 patches from the original SAR images., No specific data augmentation techniques are mentioned., Pruned and squeezed network architecture Quantized and coded weights Fast convolution computation for sparse networks, Classification accuracy under standard operating conditions (SOC) Model size reduction Computation reduction The paper claims to achieve 40x compression without loss of accuracy and 15x reduction in multiplications., SAR Automatic Target Recognition (ATR) on resource-constrained platforms, Significantly reduces model size and computational requirements Maintains classification accuracy after compression Enables real-time processing on resource-constrained platforms Allows for potential on-device retraining with new data," May require careful tuning of pruning and quantization parameters Performance on very small targets or in extremely complex scenes is not explicitly addressed Potential trade-off between compression ratio and classification accuracy for more aggressive compression This paper presents a comprehensive approach to compressing and accelerating CNN models for SAR ATR, making them suitable for deployment on resource-constrained platforms while maintaining competitive accuracy. The combination of pruning, quantization, and fast computation techniques provides a promising solution for real-time SAR ATR applications."
" Background Debiased SAR Automatic Target Recognition via a Novel Causal Interventional Regularizer by Hongwei Dong, Fangzhou Han, Lingyu Si, Wenwen Qiang, Ruiheng Zhang, and Lamei Zhang [13]", 2.2 CNN-Based Models 3.1 Supervised Learning 4.2 Data Quality Enhancement 4.7 Context-aware Methods, The paper proposes a novel framework called Prior-EDL (Prior knowledge-guided Evidential Deep Learning) based on a teacher-student network structure. Key components include: A teacher network pre-trained on simulated SAR data A student network trained on limited real SAR data A causal interventional regularizer to mitigate background interference, The paper uses two datasets: MSTAR dataset SAR-AIRcraft-1.0 dataset, Military ground vehicles and aircraft," No specific pre-processing is mentioned, but the method focuses on mitigating background interference in SAR images.", No explicit data augmentation techniques are mentioned., Label distributions derived from the teacher network as prior knowledge Evidential Deep Learning for uncertainty estimation Prior-EDL loss function to selectively incorporate prior knowledge Causal interventional regularizer to eliminate background interference," Recognition accuracy on few-shot learning scenarios (e.g. 70.19% for 4-way 1-shot, 92.97% for 4-way 20-shot) Uncertainty estimation performance on Out-Of-Distribution data", SAR Automatic Target Recognition (ATR) in scenarios with limited labeled real SAR data and background interference, Addresses the challenge of limited labeled SAR data by leveraging simulated SAR data Incorporates uncertainty estimation to improve reliability of predictions Mitigates background interference through causal intervention Achieves high recognition accuracy in few-shot learning scenarios Demonstrates superior uncertainty estimation for out-of-distribution data," Relies on the availability of high-quality simulated SAR data May require careful tuning of the Prior-EDL loss function Performance in more complex scenarios (e.g. higher number of classes) is not explored Computational complexity of the teacher-student framework is not discussed This paper presents an innovative approach to SAR ATR that addresses both the limited data challenge and background interference issue through causal intervention and evidential deep learning. The method shows promising results, especially in few-shot learning scenarios."
" Capsule Broad Learning System Network for Robust Synthetic Aperture Radar Automatic Target Recognition with Small Samples by Cuilin Yu, Yikui Zhai, Haifeng Huang, Qingsong Wang, and Wenlve Zhou [14]", 2.2 CNN-Based Models 3.1 Supervised Learning 4.2 Data Quality Enhancement 4.4 Application-Specific Methods, The paper proposes a novel network called Capsule Broad Learning System Network (CBLS-SARNET) with two main components: United Division Co-training (UDC) Framework: Combines CapsNet and Broad Learning System (BLS) Parameters Sharing (PS) network: Facilitates secondary learning by sharing weights and biases of BLS node layers, The paper uses the MSTAR dataset for experiments., Military ground vehicles from the MSTAR dataset," No specific pre-processing is mentioned, but the method likely uses standard SAR image pre-processing techniques.", No explicit data augmentation techniques are mentioned., Integration of CapsNet and BLS in an end-to-end co-training setup UDC framework for flexible feature filtering PS network for enhanced feature extraction and generalization Novel Uish activation function tailored for SAR classification, Classification accuracy under standard operating conditions (SOC) and extended operating conditions (EOC) Training time comparison with other deep learning methods The paper claims superior performance in terms of recognition accuracy and training time compared to other deep learning methods., SAR Automatic Target Recognition (ATR) in scenarios with limited labeled data," Addresses the challenge of limited labeled SAR data Improves network efficiency and efficacy through the UDC framework Enhances feature extraction and generalization via the PS network Demonstrates strong performance under various challenging conditions (blur, noise, varying depression angles)", Complexity of the architecture may make it challenging to implement and fine-tune Performance on very small targets or in extremely complex scenes is not explicitly addressed Computational requirements for the combined CapsNet-BLS architecture are not thoroughly discussed This paper presents an innovative approach to SAR ATR that addresses both the limited data challenge and the need for robust performance across various conditions. The combination of CapsNet and BLS in a co-training framework shows promise for improving both accuracy and efficiency in SAR target recognition tasks.
" Sparse Representation Based SAR Vehicle Recognition along with Aspect Angle by Xiangwei Xing, Kefeng Ji, Huanxin Zou, and Jixiang Sun [15]", 1.4 Machine Learning Methods 4.2 Data Quality Enhancement, The paper proposes a novel SAR vehicle recognition method based on sparse representation classification along with aspect information (SRCA). Key components include: Sparse representation algorithm for feature extraction PCA for dimensionality reduction Aspect angle estimation Coefficient vector projection within a certain aspect range, The paper uses the MSTAR (Moving and Stationary Target Acquisition and Recognition) dataset for experiments., Military ground vehicles from the MSTAR dataset, The paper uses principle component analysis (PCA) for feature extraction and dimensionality reduction., No specific data augmentation techniques are mentioned., Sparse representation coefficients PCA features Aspect angle information," Classification accuracy under standard operating conditions (SOC) and extended operating conditions (EOC) The proposed SRCA method improves classification accuracy by 11.46% with only 1000 training samples under SOC Under EOC, the accuracy gap between SRCA and standard SRC reaches 6.6% with 800 training samples", SAR Automatic Target Recognition (ATR) for military ground vehicles, Incorporates aspect angle information to improve recognition accuracy Achieves higher classification accuracy with fewer training samples Shows better performance under both SOC and EOC scenarios Robust to variations in depression angle and target configurations," Requires aspect angle estimation, which may introduce additional complexity Performance on very small targets or in extremely complex scenes is not explicitly addressed Computational complexity of the sparse representation and aspect angle projection is not thoroughly discussed This paper presents an innovative approach to SAR ATR by combining sparse representation with aspect angle information. The method shows promising results in improving recognition accuracy, especially with limited training data and under various operating conditions."
" An Integrated Counterfactual Sample Generation and Filtering Approach for SAR Automatic Target Recognition with a Small Sample Set by Chao Cao, Zhenyu Cui, Zhijun Cao, Liyuan Wang, and Jianyu Yang [16]", 2.2 CNN-Based Models 3.6 Adversarial Learning 4.2 Data Quality Enhancement 4.4 Application-Specific Methods, The paper proposes an integrated approach with two main components: A generation component using generative adversarial networks (GANs) to create counterfactual SAR target samples A filtering component using multiple SVMs to select beneficial counterfactual samples, The paper uses two datasets: MSTAR (Moving and Stationary Target Acquisition and Recognition) dataset OpenSARship dataset, Military ground vehicles and ships," No specific pre-processing is mentioned, as the method focuses on generating and filtering synthetic samples.", The method itself serves as a form of data augmentation by generating counterfactual samples., GAN-based counterfactual sample generation Multiple SVM-based filtering mechanism Dynamic improvement of recognition model through iterative generation and filtering, Classification accuracy The paper claims 91.27% accuracy with only 14.5% of the original training set size, SAR Automatic Target Recognition (ATR) with limited labeled training data, Addresses the challenge of limited labeled SAR data Generates diverse counterfactual samples to expand the training set Filters generated samples to retain only beneficial ones Dynamically improves recognition performance through iterative process, Complexity of the integrated approach may make it challenging to implement Potential instability issues inherent to GAN training Computational overhead of multiple SVM training and filtering process This paper presents an innovative approach to SAR ATR that addresses the limited data challenge through counterfactual sample generation and filtering. The method shows promise in improving recognition performance with a significantly reduced training set size.
" A Measurement Image Translation-Automatic Target Recognition Technique Based on CycleGAN with SAR Simulation DB by Seung Mo Seo, Yeoreum Choi, Ho Lim, and Dae-Young Chae [17]", 2.2 CNN-Based Models 3.5 Transfer Learning 4.2 Data Quality Enhancement 4.4 Application-Specific Methods," The paper proposes a novel SAR ATR method called Measurement Image Translation-Automatic Target Recognition (MIT-ATR) consisting of two main components: CycleGAN for translating measurement SAR images to simulation-like images VGG network for classification, trained on simulated SAR data", The paper uses three polarimetric SAR datasets: AIRSAR data GF-3 data UAVSAR data, Military ground vehicles," The paper focuses on translating measurement images to simulation-like images, so no specific pre-processing is mentioned for the original SAR data."," The CycleGAN translation process can be considered a form of data augmentation, as it generates synthetic simulation-like images from real measurement data.", Unpaired image-to-image translation using CycleGAN Transfer learning from simulated to real SAR data VGG network for classification, Figure-of-merit (FoM) Target-to-clutter ratio The paper claims to achieve the highest FoM and significantly enhance the target-to-clutter ratio compared to other state-of-the-art methods., SAR Automatic Target Recognition (ATR) using simulated training data to overcome the lack of labeled real SAR data., Addresses the challenge of limited labeled real SAR data by leveraging simulated data Improves generalization from simulated to real SAR images through CycleGAN translation Achieves high classification accuracy using VGG network trained on simulated data Does not require paired real-simulated image datasets for training, Relies on the quality and fidelity of SAR simulation techniques Computational complexity of the CycleGAN translation process is not thoroughly discussed Performance on very small targets or in extremely complex scenes is not explicitly addressed This paper presents an innovative approach to SAR ATR that addresses the challenge of limited real labeled data by leveraging simulated SAR data and using CycleGAN for domain adaptation. The method shows promise in improving classification accuracy and generalization from simulated to real SAR imagery.
" MFFA-SARNET: Deep Transferred Multi-Level Feature Fusion Attention Network with Dual Optimized Loss for Small-Sample SAR ATR by Yikui Zhai, Wenbo Deng, Tian Lan, Bing Sun, Zilu Ying, Junying Gan, Chaoyun Mai, Jingwen Li, Ruggero Donida Labati, Vincenzo Piuri, and Fabio Scotti [18]", 2.2 CNN-Based Models 3.5 Transfer Learning 4.2 Data Quality Enhancement 4.4 Application-Specific Methods, The paper proposes a novel network called MFFA-SARNET with the following key components: Multi-level feature fusion attention (MFFA) network Dual optimized loss function Transfer learning, The paper uses the MSTAR (Moving and Stationary Target Acquisition and Recognition) dataset for experiments., Military ground vehicles from the MSTAR dataset, The paper uses central sampling to extract 88x88 patches from the original SAR images., No specific data augmentation techniques are mentioned., Multi-level feature fusion from different network layers Attention mechanism to focus on target features Dual optimized loss combining modified softmax and SSIM loss Transfer learning to leverage pre-trained weights," Classification accuracy under standard operating conditions (SOC) and extended operating conditions (EOC) Performance comparison with state-of-the-art methods The paper claims superior performance compared to other methods, especially in small sample scenarios.", SAR Automatic Target Recognition (ATR) with limited training data, Addresses the challenge of limited labeled SAR data Improves feature extraction through multi-level fusion and attention mechanism Enhances model optimization with dual loss function Leverages transfer learning to improve performance with small samples," Increased computational complexity due to multi-level feature fusion and attention mechanism May require careful tuning of multiple loss function components Performance on very small targets or in extremely complex scenes is not explicitly addressed This paper presents a comprehensive approach to SAR ATR that addresses the limited data challenge through innovative network architecture, loss function design, and transfer learning. The method shows promise in improving classification accuracy, especially in small sample scenarios."
" Automatic Target Recognition for Synthetic Aperture Radar Images Based on Super-Resolution Generative Adversarial Network and Deep Convolutional Neural Network by Xiaoran Shi, Feng Zhou, Shuang Yang, Zijing Zhang, and Tao Su [19]", 2.2 CNN-Based Models 4.2 Data Quality Enhancement 4.4 Application-Specific Methods, The paper proposes a novel SAR ATR method consisting of three main components: Threshold segmentation for background clutter elimination Super-Resolution Generative Adversarial Network (SRGAN) for image enhancement Deep Convolutional Neural Network (DCNN) for classification, The paper uses the MSTAR (Moving and Stationary Target Acquisition and Recognition) dataset for experiments., Military ground vehicles from the MSTAR dataset," The paper uses threshold segmentation to eliminate background clutter and speckle noise, and accurately extract the target area of interest."," The SRGAN is used to enhance low-resolution SAR images, which can be considered a form of data augmentation.", Threshold segmentation for target extraction Super-resolution enhancement using SRGAN Deep features extracted by DCNN, Classification accuracy under standard operating conditions (SOC) and extended operating conditions (EOC) The paper claims good recognition results under both SOC and EOC scenarios., SAR Automatic Target Recognition (ATR) for military ground vehicles, Improves visual resolution and feature characterization of SAR images Eliminates background clutter effectively Combines benefits of super-resolution and deep learning techniques Shows good performance under both SOC and EOC," Computational complexity of the SRGAN and DCNN pipeline is not thoroughly discussed Performance on very small targets or in extremely complex scenes is not explicitly addressed Reliance on threshold segmentation may limit performance in challenging scenarios This paper presents an innovative approach to SAR ATR by combining super-resolution techniques with deep learning. The method shows promise in improving image quality and classification accuracy, especially for low-resolution SAR images."
" Multi-Aspect SAR Target Recognition Based on Prototypical Network with a Small Number of Training Samples by Pengfei Zhao, Lijia Huang, Yu Xin, Jiayi Guo, and Zongxu Pan [20]", 2.2 CNN-Based Models 3.3 Few-shot Learning 4.2 Data Quality Enhancement 4.4 Application-Specific Methods, The paper proposes a novel framework based on prototypical networks for multi-aspect SAR target recognition. Key components include: Prototypical network for few-shot learning Multi-task learning with additional classification task Multi-level feature fusion with attention mechanism NLECA-EfficientNet as feature extraction backbone, The paper uses the MSTAR (Moving and Stationary Target Acquisition and Recognition) dataset for experiments., Military ground vehicles from the MSTAR dataset, The paper uses central sampling to extract 88x88 patches from the original SAR images. It also applies ±10° rotation for data augmentation and refined Lee filtering for speckle noise reduction., ±10° rotation of training images Test time augmentation with ±10° rotation," Prototypical embeddings for class representation Multi-level feature fusion (low, mid, high-level features) Attention mechanism for feature refinement Multi-task learning with prototypical and classification losses"," Classification accuracy under standard operating conditions (SOC) and extended operating conditions (EOC) Performance comparison with state-of-the-art methods The paper claims superior performance compared to other methods, especially in small sample scenarios.", SAR Automatic Target Recognition (ATR) with limited training data, Addresses the challenge of limited labeled SAR data Improves feature extraction through multi-level fusion and attention mechanism Enhances model optimization with multi-task learning Shows good generalization to different feature extraction backbones," Increased computational complexity due to multi-level feature fusion and attention mechanism May require careful tuning of multiple loss function components Performance on very small targets or in extremely complex scenes is not explicitly addressed This paper presents a comprehensive approach to multi-aspect SAR ATR that addresses the limited data challenge through innovative network architecture, feature fusion, and few-shot learning techniques. The method shows promise in improving classification accuracy, especially in small sample scenarios."
" A SAR Target Recognition Based on Guided Reconstruction and Weighted Norm-Constrained Deep Belief Network by Jian Wang, Jie Liu, Ping Ren, and Chun-Xia Qin [21]", 2.2 CNN-Based Models 4.2 Data Quality Enhancement 4.4 Application-Specific Methods, The paper proposes a novel SAR target recognition method with two main components: SAR image reconstruction using guided filtering Weighted norm-constrained Deep Belief Network (DBN) for feature extraction and classification, The paper uses the MSTAR (Moving and Stationary Target Acquisition and Recognition) dataset for experiments., Military ground vehicles from the MSTAR dataset, The paper uses a two-scale guided filtering reconstruction algorithm to enhance SAR images and reduce dimensionality., No specific data augmentation techniques are mentioned., Two-scale guided filtering for image reconstruction Weighted norm-constrained DBN for sparse feature extraction Regularized Softmax for classification, Classification accuracy under standard operating conditions (SOC) and extended operating conditions (EOC) The paper claims improved target recognition performance and generalization ability compared to other methods., SAR Automatic Target Recognition (ATR) for military ground vehicles, Improves image quality and reduces dimensionality through guided filtering reconstruction Enhances feature extraction with weighted norm-constrained DBN Reduces network training times Shows good performance under both SOC and EOC scenarios," Computational complexity of the guided filtering and DBN pipeline is not thoroughly discussed Performance on very small targets or in extremely complex scenes is not explicitly addressed May require careful tuning of multiple hyperparameters This paper presents an innovative approach to SAR ATR by combining guided filtering reconstruction with a weighted norm-constrained DBN. The method shows promise in improving image quality, feature extraction, and classification accuracy while reducing training times."
 Adversarial Attack for SAR Target Recognition Based on UNet-Generative Adversarial Network by Chuan Du and Lei Zhang [22], 2.2 CNN-Based Models 3.6 Adversarial Learning 4.2 Data Quality Enhancement 4.4 Application-Specific Methods, The paper proposes an adversarial attack method called Attack-UNet-GAN with three main components: A UNet-based generator to create adversarial examples A discriminator to encourage realistic adversarial examples A pre-trained SAR-ATR model as the target of the attack, The paper uses the MSTAR (Moving and Stationary Target Acquisition and Recognition) dataset for experiments., Military ground vehicles from the MSTAR dataset," No specific pre-processing is mentioned, as the method focuses on generating adversarial examples from original SAR images.", The adversarial example generation process can be considered a form of data augmentation., UNet architecture for multi-scale feature extraction and adversarial example generation Adversarial training using a GAN framework White-box attack assuming full knowledge of the target SAR-ATR model, Attack success rate Structural Similarity Index (SSIM) between original and adversarial images Computational efficiency compared to iterative optimization methods The paper claims improved attack performance and efficiency over existing methods., Evaluating and improving the robustness of SAR Automatic Target Recognition (ATR) systems against adversarial attacks, Generates high-quality adversarial examples with sharp target edges and explicit weak scattering centers Improves attack efficiency through one-step network mapping instead of iterative optimization Demonstrates potential vulnerabilities in current SAR-ATR systems, Requires white-box access to the target SAR-ATR model Ethical concerns about developing attack methods that could potentially be misused Performance on very small targets or in extremely complex scenes is not explicitly addressed This paper presents an innovative approach to generating adversarial examples for SAR-ATR systems using a UNet-GAN architecture. The method shows promise in efficiently producing high-quality adversarial examples while highlighting potential vulnerabilities in deep learning-based SAR-ATR models.
